customer_name,phone,gender,age,customer_level,total_orders,total_amount,last_order_date,average_order_amount,birthday,tags,preferred_type
吕女士,13800000166,女,45,高价值客户,13,7557.08,2026-08-29,581.31,1981-03-22,"高价值,生日宴",生日宴
纪先生,13800000167,男,27,沉睡客户,3,621,2026-06-03,207.0,1999-08-07,朋友聚餐,朋友聚餐
曹先生,13800000168,男,58,高价值客户,5,1948.58,2026-07-18,389.72,1968-10-13,生日宴,生日宴
苏先生,13800000169,男,37,高价值客户,5,1659.5,2026-07-27,331.9,1989-07-12,"潜力客户,公司聚餐",公司聚餐
林先生,13800000170,男,40,沉睡客户,2,553,2026-05-01,276.5,1986-04-12,生日宴,生日宴
邱女士,13800000171,女,44,高价值客户,5,1610.76,2026-08-14,322.15,1982-10-05,商务宴请,商务宴请
沈女士,13800000172,女,56,高价值客户,14,4645.55,2026-08-09,331.82,1970-02-10,"高价值,朋友聚餐",朋友聚餐
萧先生,13800000173,男,54,沉睡客户,2,715,2026-05-06,357.5,1972-04-27,生日宴,生日宴
茅女士,13800000174,女,27,潜力客户,2,752.69,2026-07-25,376.35,1999-04-13,商务宴请,商务宴请
项先生,13800000175,男,40,高价值客户,5,1399.39,2026-08-03,279.88,1986-03-05,"潜力客户,普通用餐",普通用餐
何先生,13800000176,男,27,潜力客户,2,672,2026-07-20,336.0,1999-12-20,"潜力客户,朋友聚餐",朋友聚餐
金女士,13800000177,女,44,潜力客户,3,617.26,2026-08-29,205.75,1982-07-21,家庭聚餐,家庭聚餐
霍女士,13800000178,女,27,高价值客户,14,7753.79,2026-08-29,553.84,1999-03-10,"高价值,公司聚餐",公司聚餐
娄女士,13800000179,女,37,高价值客户,6,1840.78,2026-07-22,306.8,1989-02-17,"潜力客户,公司聚餐",公司聚餐
卫先生,13800000180,男,50,高价值客户,14,7801.98,2026-08-29,557.28,1976-02-12,"高价值,朋友聚餐",朋友聚餐
邹先生,13800000181,男,28,高价值客户,5,1506.42,2026-07-14,301.28,1998-12-16,朋友聚餐,朋友聚餐
陈先生,13800000182,男,44,潜力客户,2,555.2,2026-08-29,277.6,1982-05-17,家庭聚餐,家庭聚餐
余女士,13800000183,女,28,高价值客户,10,4192.08,2026-08-29,419.21,1998-01-28,"高价值,公司聚餐",公司聚餐
姜女士,13800000184,女,49,沉睡客户,4,1474,2026-05-05,368.5,1977-07-11,商务宴请,商务宴请
屈先生,13800000185,男,43,高价值客户,5,1503.3,2026-07-30,300.66,1983-03-18,普通用餐,普通用餐
臧女士,13800000186,女,32,潜力客户,4,1534.12,2026-08-05,383.53,1994-10-23,"潜力客户,普通用餐",普通用餐
林女士,13800000187,女,28,潜力客户,4,1629.43,2026-08-07,407.36,1998-01-03,"潜力客户,公司聚餐",公司聚餐
舒女士,13800000188,女,58,高价值客户,8,2540.99,2026-08-29,317.62,1968-10-22,"高价值,公司聚餐",公司聚餐
戚女士,13800000189,女,30,潜力客户,4,1637,2026-08-01,409.25,1996-10-02,"潜力客户,家庭聚餐",家庭聚餐
干先生,13800000190,男,49,高价值客户,12,7205.18,2026-08-29,600.43,1977-02-01,"高价值,商务宴请",商务宴请
郁先生,13800000191,男,33,高价值客户,11,6867.69,2026-08-17,624.34,1993-10-10,"高价值,朋友聚餐",朋友聚餐
马女士,13800000192,女,33,潜力客户,2,977,2026-08-13,488.5,1993-12-15,"潜力客户,家庭聚餐",家庭聚餐
明先生,13800000193,男,48,沉睡客户,1,297,2026-04-22,297.0,1978-05-28,公司聚餐,公司聚餐
羊先生,13800000194,男,37,沉睡客户,2,443,2026-06-05,221.5,1989-03-08,朋友聚餐,朋友聚餐
郑女士,13800000195,女,49,高价值客户,6,2811.94,2026-07-26,468.66,1977-09-05,"潜力客户,生日宴",生日宴
缪先生,13800000196,男,52,高价值客户,5,1221.64,2026-08-16,244.33,1974-11-03,"潜力客户,商务宴请",商务宴请
骆女士,13800000197,女,48,高价值客户,8,2557.41,2026-08-16,319.68,1978-09-28,"潜力客户,家庭聚餐",家庭聚餐
任先生,13800000198,男,48,潜力客户,3,788.71,2026-08-10,262.9,1978-11-18,生日宴,生日宴
解女士,13800000199,女,31,沉睡客户,2,601,2026-04-17,300.5,1995-03-22,生日宴,生日宴
褚女士,13800000200,女,27,高价值客户,5,3033,2026-08-01,606.6,1999-11-07,"高价值,普通用餐",普通用餐
